text,tier
"Compare REST and GraphQL APIs in terms of use cases.",2
"What are the key differences between Python lists and tuples?",2
"Explain the difference between TCP and UDP protocols.",2
"Explain what a REST API is in simple terms.",2
"Explain the concept of recursion with a simple example.",2
"What is object-oriented programming and what are its four pillars?",2
"Explain what machine learning is to a non-technical audience.",2
"Explain how HTTPS works in simple terms.",2
"What is the difference between supervised and unsupervised learning?",2
"Write a short paragraph about the importance of sleep.",2
"Write a professional email declining a meeting invitation.",2
"Write a brief product description for a wireless keyboard.",2
"Write a one-paragraph bio for a software engineer with 5 years experience.",2
"Draft a polite follow-up email for a job application submitted 2 weeks ago.",2
"Given this data, identify the trend: Sales Q1=100, Q2=130, Q3=125, Q4=160.",2
"Analyze this feedback and identify the top 3 themes: Users say the app is slow, hard to navigate, crashes on login, confusing menus, and poor loading times.",2
"Given a list of customer complaints about shipping delays, categorize them by urgency.",2
"What metrics would you use to measure the success of a new mobile app?",2
"Identify potential risks in launching a product without user testing.",2
"Write a Python function that returns the factorial of a number.",2
"Write a SQL query to find all customers who placed more than 3 orders.",2
"Write a regex pattern to match valid email addresses.",2
"Explain what this code does: for i in range(0, len(arr), 2): result.append(arr[i])",2
"Convert this Python 2 code to Python 3: print 'hello world'",2
"What are the SOLID principles in software engineering?",2
"What is the CAP theorem?",2
"What is Big O notation and why does it matter?",2
"Explain what a hash table is and give a real-world analogy.",2
"What is the difference between authentication and authorization?",2
"Translate and localize this English marketing copy for a Japanese audience: 'Save big this summer with our annual sale!'",2
"Rewrite this technical paragraph for a 10-year-old: 'Quantum entanglement occurs when particles interact such that the quantum state of each particle cannot be described independently.'",2
"Paraphrase the following to avoid passive voice: 'Mistakes were made by the team during the product launch.'",2
"Convert this bullet list into a coherent paragraph: reliability, scalability, security, performance",2
"Summarize the key points from this meeting transcript: [Alice: We need to finalize the Q3 roadmap. Bob: I think we should prioritize the payment module. Alice: Agreed, but we also need to address the login bug. Bob: Let's assign that to the dev team by Friday.]",2
"A company has 3 factories and 4 warehouses. Factory costs and warehouse demands are given. Explain step by step how you would set up a transportation optimization problem to minimize cost.",3
"Design a system architecture for a ride-sharing app that needs to handle 1 million concurrent users. Consider database design, API structure, and scaling strategy.",3
"You are a startup founder with $50,000 and 6 months runway. Your SaaS product has 100 free users but 0 paying. Develop a monetization strategy with specific steps and milestones.",3
"Compare and contrast the philosophical positions of Kant and Mill on the ethics of lying. Provide your own reasoned position with supporting arguments.",3
"Write a Python function that finds all prime numbers up to N using the Sieve of Eratosthenes. Explain the algorithm step by step and analyze its time and space complexity.",3
"Analyze the long-term geopolitical implications of AI-driven automation on developing economies over the next 20 years.",3
"Design a machine learning pipeline for detecting credit card fraud in real-time. Cover data preprocessing, feature engineering, model selection, and deployment considerations.",3
"You are given a legacy codebase with no tests and poor documentation. Create a detailed plan to safely refactor it while maintaining production stability.",3
"Write a persuasive essay arguing that social media companies should be held legally liable for algorithmic amplification of misinformation. Include counterarguments and rebuttals.",3
"Design a database schema for a multi-tenant SaaS platform where each tenant needs data isolation, custom fields, and audit logging. Justify your design decisions.",3
"A patient presents with fatigue, weight gain, cold intolerance, and dry skin. Walk through your differential diagnosis process step by step.",3
"Evaluate the ethical implications of using AI-generated content in journalism. Consider impacts on trust, employment, and public discourse.",3
"You need to migrate a monolithic Rails app to microservices without downtime. Design the migration strategy, including the strangler fig pattern, data synchronization, and rollback plan.",3
"Build a mental model for understanding how transformers work, starting from the problem of sequence modeling and building up to multi-head attention and positional encoding.",3
"A/B test results: Control CTR=3.2% (n=10,000), Treatment CTR=3.6% (n=10,200). Is this statistically significant? Walk through the hypothesis test step by step and interpret business implications.",3
"Design a content recommendation system for a streaming platform. Cover collaborative filtering, content-based filtering, cold start problem, and how to balance exploration vs exploitation.",3
"You are a senior engineer reviewing a junior's PR that works but has poor readability, no error handling, and O(n²) complexity where O(n log n) is possible. Write detailed, constructive code review comments.",3
"Explain how you would debug a memory leak in a production Node.js application, from initial symptom detection through root cause analysis to fix and verification.",3
"Write a comprehensive product requirements document (PRD) for a personal finance tracking app aimed at millennials. Include user personas, core features, success metrics, and edge cases.",3
"Develop a negotiation strategy for a software engineer asking for a 30% salary increase. Include how to frame the ask, handle objections, and BATNA considerations.",3
"Explain the tradeoffs between eventual consistency and strong consistency in distributed systems. Use real-world examples and describe when you would choose each.",3
"Design a rate limiting system that handles 100,000 requests per second across a distributed cluster. Consider Redis-based sliding window counters, token bucket algorithm, and failure modes.",3
"You have been asked to reduce cloud infrastructure costs by 40% without degrading performance. Create a systematic audit and optimization plan.",3
"Analyze why most enterprise digital transformation initiatives fail and propose a framework for increasing success rates, backed by organizational behavior theory.",3
"Write a technical blog post explaining how to implement JWT authentication in a FastAPI application, covering token generation, validation, refresh tokens, and security pitfalls to avoid.",3
"Given that all men are mortal, Socrates is a man, and mortality implies physical decay — construct a formal logical argument about whether Socrates' ideas can be considered immortal.",3
"You are designing the AI safety policy for a company deploying LLMs in healthcare. Create a comprehensive framework covering model validation, human oversight, failure modes, and regulatory compliance.",3
"Reverse-engineer the business model of Notion and explain how it achieves product-led growth, network effects, and enterprise expansion from a freemium base.",3
"A user reports that their distributed transaction is failing intermittently with a deadlock error. Walk through how you would diagnose and resolve distributed deadlocks in a microservices environment.",3
"Compare transformer-based language models, graph neural networks, and symbolic AI for the task of drug discovery. Evaluate each along accuracy, interpretability, data requirements, and computational cost.",3
"Design a comprehensive observability stack for a microservices platform, covering logging, metrics, tracing, alerting, and how to correlate signals across services for faster incident resolution.",3
"Explain the prisoner's dilemma, how it applies to corporate competition in the tech industry, and propose game-theoretic strategies companies can use to escape race-to-the-bottom dynamics.",3
"You are CTO of a fintech startup. Regulators have given you 90 days to achieve SOC 2 Type II compliance. Build the 90-day execution plan with owners, milestones, and risk mitigations.",3
"Analyze the economic and social second-order effects of universal basic income using evidence from existing pilot programs, and evaluate its feasibility in the context of AI-driven job displacement.",3
"Implement and explain a backpressure mechanism in a data pipeline that prevents fast producers from overwhelming slow consumers, considering both pull and push models.",3
"Write a detailed post-mortem for a hypothetical 4-hour database outage caused by a schema migration that locked the users table. Include timeline, root cause, impact, and preventive measures.",3
"What is the time complexity of binary search?",2
"Explain what a foreign key is in a relational database.",2
"What is the difference between == and === in JavaScript?",2
"What is memoization and when would you use it?",2
"Explain the MVC design pattern with an example.",2
"What is dependency injection and why is it useful?",2
"What is the difference between a process and a thread?",2
"Explain what a webhook is and give a use case.",2
"What is lazy loading and why does it improve performance?",2
"What is idempotency and why does it matter in APIs?",2
"Write a function to check if a string is a palindrome.",2
"Write a SQL query to calculate monthly revenue grouped by product category.",2
"Write a Python class for a stack data structure with push, pop, and peek.",2
"Explain what CORS is and how to fix a CORS error.",2
"What is the difference between PUT and PATCH HTTP methods?",2
"Summarize the pros and cons of using GraphQL over REST for a mobile app backend.",2
"Given user churn is 8% monthly, what strategies would you prioritize to reduce it?",2
"Analyze the impact of increasing prices by 10% on customer retention based on this data: price-sensitive users = 40%, loyal users = 60%.",2
"Write a job description for a Senior Backend Engineer role at a fintech startup.",2
"Create a 5-question user interview guide to understand why users abandon a checkout flow.",2
"Explain how you would implement optimistic UI updates in a React application.",2
"What are the tradeoffs between server-side rendering and client-side rendering?",2
"Describe the event loop in Node.js and how it handles async operations.",2
"Explain the difference between horizontal and vertical scaling with examples.",2
"What is connection pooling and why is it important in database-heavy applications?",2
"Design a fault-tolerant event-driven order processing system for an e-commerce platform handling 10,000 orders per day. Include queue design, error handling, and retry strategies.",3
"You are a product manager. Write a complete go-to-market strategy for launching a B2B SaaS project management tool in a market dominated by Asana and Monday.com.",3
"Implement a least-recently-used (LRU) cache from scratch in Python. Explain each design decision and analyze the time complexity of get and put operations.",3
"Explain how you would build a real-time collaborative document editing system like Google Docs, covering operational transforms or CRDTs, conflict resolution, and WebSocket management.",3
"A senior engineer is consistently missing deadlines and producing low-quality code. As their engineering manager, describe how you would handle this situation step by step.",3
"Design the data model and API for a multi-currency wallet system that supports atomic transfers, currency conversion, and full transaction history.",3
"Explain the philosophical concept of emergence and apply it to three different domains: biology, economics, and software engineering.",3
"You are advising a government on regulating large language models. Draft the key principles and enforcement mechanisms for an AI governance framework.",3
"Analyze the competitive dynamics between open-source and proprietary AI models. Who wins in the long run and why?",3
"Build a technical specification for a distributed caching layer that reduces database load by 70% while maintaining cache coherence across 20 microservices.",3
